id;clusterId;vertexId;distance
641;11;2060;1
642;7;2060;1
643;14;2060;1
644;4;2060;1
645;9;2060;1
646;6;2060;1
647;13;2060;1
648;6;2067;1
649;14;2070;1
650;11;2074;1
651;7;2074;1
652;4;2074;1
653;13;2074;1
654;3;2078;1
655;8;2079;1
656;11;2086;1
657;14;2086;1
658;6;2086;1
659;12;2087;1
660;0;2091;1
661;13;2091;1
662;4;2093;1
663;13;2093;1
664;4;2098;1
665;13;2098;1
666;13;2099;1
667;8;2103;1
668;11;2107;1
669;14;2107;1
670;6;2107;1
671;3;2109;1
672;14;2122;1
673;10;2128;1
674;11;2128;1
675;5;2128;1
676;11;2133;1
677;12;2133;1
678;5;2133;1
679;5;2134;1
680;8;2139;1
681;0;2140;1
682;13;2140;1
683;5;2142;1
684;11;2145;1
685;4;2150;1
686;4;2152;1
687;13;2152;1
688;9;2168;1
689;3;2168;1
690;10;2183;1
691;12;2198;1
692;13;2198;1
693;11;2210;1
694;5;2210;1
695;10;2221;1
696;6;2225;0
697;4;2229;1
698;13;2229;1
699;1;2232;1
700;0;2232;1
701;8;2232;1
702;2;2232;1
703;9;2232;1
704;3;2232;1
705;5;2237;1
706;1;2241;1
707;0;2241;1
708;8;2241;1
709;2;2241;1
710;9;2241;1
711;3;2241;1
712;12;2247;1
713;6;2247;1
714;5;2254;1
715;1;2263;1
716;8;2263;1
717;4;2268;1
718;13;2268;1
719;11;2270;1
720;3;2275;1
721;5;2275;1
722;0;2282;1
723;13;2282;1
724;9;2289;1
725;6;2297;1
726;1;2303;1
727;7;2303;1
728;4;2305;1
729;13;2305;1
730;9;2314;1
731;5;2318;1
732;4;2325;1
733;0;2328;1
734;7;2328;1
735;0;2329;1
736;13;2329;1
737;11;2331;0
738;11;2331;1
739;8;2331;1
740;12;2331;1
741;4;2331;1
742;9;2331;1
743;6;2331;1
744;13;2331;1
745;5;2331;1
746;8;2332;1
747;9;2335;1
748;0;2344;1
749;14;2344;1
750;13;2344;1
751;11;2345;1
752;9;2352;1
753;1;2358;1
754;8;2358;0
755;3;2358;1
756;5;2359;1
757;12;2365;0
758;9;2377;1
759;1;2378;1
760;0;2378;1
761;8;2378;1
762;2;2378;1
763;9;2378;1
764;3;2378;1
765;4;2380;1
766;3;2381;1
767;4;2385;1
768;5;2387;1
769;5;2392;1
770;14;2393;1
771;14;2411;1
772;8;2414;1
773;8;2413;1
774;14;2413;1
775;5;2416;1
776;12;2426;1
777;7;2427;1
778;9;2433;1
779;5;2434;1
780;4;2437;1
781;9;2441;1
782;0;2449;1
783;12;2449;1
784;13;2449;1
785;12;2453;1
786;9;2457;1
787;3;2462;1
788;9;2466;1
789;12;2473;1
790;3;2476;1
791;5;2487;1
792;12;2494;1
793;8;2503;1
794;12;2505;1
795;3;2508;1
796;3;2509;1
797;14;2510;1
798;11;2513;1
799;7;2513;1
800;3;2513;1
801;13;2513;1
802;5;2513;1
803;5;2516;1
804;14;2517;1
805;9;2524;1
806;12;2551;1
807;13;2551;1
808;5;2551;1
809;5;2554;0
810;12;2558;1
811;13;2558;1
812;7;2561;1
813;12;2563;0
814;6;2563;1
815;9;2564;1
816;11;2568;1
817;8;2568;1
818;9;2568;1
819;4;2571;1
820;8;2574;1
821;3;2574;1
822;5;2575;1
823;13;2580;1
824;11;2591;1
825;13;2591;1
826;14;2594;0
827;7;2610;1
828;4;2613;1
829;6;2613;1
830;5;2614;1
831;14;2615;1
832;5;2619;1
833;1;2632;1
834;0;2632;1
835;8;2632;1
836;2;2632;1
837;9;2632;0
838;9;2632;1
839;3;2632;1
840;1;2636;1
841;14;2636;1
842;11;2641;1
843;11;2649;1
844;5;2649;1
845;1;2651;1
846;10;2652;1
847;11;2652;1
848;8;2652;1
849;4;2652;1
850;9;2652;1
851;6;2652;1
852;13;2652;1
853;5;2652;1
854;13;2660;1
855;9;2670;1
856;11;2679;1
857;14;2680;1
858;5;2680;1
859;14;2682;1
860;3;2685;1
861;5;2686;1
862;9;2689;1
863;1;2705;1
864;0;2705;1
865;8;2705;1
866;2;2705;1
867;9;2705;1
868;3;2705;1
869;0;2717;1
870;13;2717;1
871;4;2721;1
872;11;2725;1
873;14;2725;1
874;6;2725;1
875;9;2728;1
876;9;2733;1
877;1;2736;1
878;14;2736;1
879;13;2737;1
880;10;2749;1
881;0;2750;1
882;13;2750;1
883;9;2747;1
884;5;2747;1
885;3;2756;1
886;4;2757;1
887;5;2765;1
888;9;2766;1
889;1;2774;1
890;4;2784;1
891;13;2784;1
892;13;2781;1
893;4;2799;1
894;3;2799;1
895;4;2800;1
896;6;2800;1
897;13;2800;1
898;11;2804;1
899;8;2804;1
900;9;2804;0
901;9;2804;1
902;11;2814;1
903;5;2814;1
904;14;2817;1
905;8;2818;1
906;1;2831;1
907;5;2839;1
908;11;2841;1
909;7;2841;1
910;12;2841;1
911;13;2841;1
912;10;2846;1
913;12;2846;1
914;3;2846;1
915;3;2859;1
916;3;2871;1
917;11;2877;1
918;14;2877;1
919;6;2877;1
920;5;2880;1
921;8;2886;1
922;11;2889;1
923;9;2889;1
924;5;2889;1
925;8;2892;1
926;9;2895;1
927;13;2904;1
928;0;2905;1
929;13;2905;1
930;0;2910;1
931;11;2910;1
932;6;2910;1
933;13;2910;1
934;5;2922;1
935;8;2923;1
936;13;2923;1
937;13;2929;1
938;5;2938;1
939;9;2944;1
940;13;2953;1
941;5;2956;1
942;13;2958;1
943;4;2980;1
944;13;2988;1
945;11;3003;1
946;5;3019;1
947;11;3022;1
948;8;3022;1
949;9;3022;1
950;5;3037;1
951;4;3051;1
952;5;3052;1
953;7;3054;1
954;6;3056;1
955;13;3056;1
956;4;3069;1
957;1;3075;1
958;9;3075;1
959;11;3073;1
960;12;3073;1
961;5;3073;1
962;11;3074;1
963;5;3074;1
964;0;3076;1
965;11;3081;1
