id;clusterId;vertexId;distance
274;4;882;1
275;14;882;1
276;7;882;1
277;2;882;1
278;9;884;1
279;2;884;1
280;13;892;1
281;1;892;1
282;8;895;1
283;5;895;1
284;13;895;1
285;3;895;1
286;5;904;1
287;11;907;1
288;5;912;1
289;11;912;1
290;7;912;1
291;8;916;1
292;13;916;0
293;13;916;1
294;6;916;1
295;8;926;1
296;8;928;1
297;3;946;1
298;5;950;1
299;1;950;1
300;1;957;1
301;13;961;1
302;11;961;1
303;6;961;1
304;2;962;1
305;1;964;1
306;7;965;1
307;11;966;1
308;4;966;1
309;7;966;1
310;2;966;1
311;5;988;1
312;1;988;1
313;14;989;1
314;0;990;1
315;13;990;1
316;1;991;1
317;4;994;1
318;1;994;1
319;1;997;1
320;14;1005;1
321;5;1011;1
322;1;1011;1
323;5;1013;1
324;11;1013;1
325;7;1013;1
326;2;1013;1
327;3;1012;1
328;10;1018;1
329;10;1017;1
330;2;1020;1
331;5;1022;1
332;4;1022;1
333;7;1025;0
334;7;1025;1
335;2;1025;1
336;3;1029;1
337;11;1043;1
338;1;1051;1
339;13;1054;1
340;6;1054;1
341;8;1061;1
342;3;1061;0
343;3;1061;1
344;3;1062;1
345;5;1065;1
346;11;1065;1
347;7;1065;1
348;3;1067;1
349;7;1068;1
350;1;1073;1
351;6;1078;1
352;5;1090;1
353;2;1090;1
354;4;1096;1
355;14;1096;1
356;1;1096;1
357;5;1098;1
358;10;1115;1
359;3;1117;1
360;3;1124;1
361;4;1126;1
362;3;1128;1
363;5;1135;1
364;1;1135;1
365;5;1143;1
366;13;1143;1
367;14;1143;1
368;3;1143;1
369;2;1143;1
370;3;1148;1
371;3;1151;1
372;10;1152;1
373;5;1162;1
374;14;1162;0
375;14;1162;1
376;2;1162;1
377;10;1164;1
378;3;1164;1
379;3;1166;1
380;14;1170;0
381;10;1180;1
382;5;1182;1
383;13;1182;1
384;3;1182;1
385;1;1194;1
386;9;1199;1
387;2;1199;1
388;6;1200;1
389;13;1225;1
390;14;1234;1
391;10;1251;1
392;2;1251;1
393;9;1271;1
394;2;1271;1
395;14;1272;1
396;2;1272;1
397;8;1282;1
398;9;1291;1
399;1;1292;1
400;3;1308;1
401;5;1315;1
402;13;1315;1
403;13;1316;1
404;14;1316;1
405;6;1316;1
406;1;1316;1
407;5;1320;1
408;13;1320;1
409;13;1319;1
410;6;1319;1
411;5;1324;1
412;3;1330;1
413;13;1331;1
414;11;1331;1
415;6;1331;1
416;14;1333;1
417;2;1333;1
418;3;1336;1
419;11;1338;1
420;2;1341;1
421;1;1353;1
422;9;1358;1
423;11;1358;1
424;5;1370;1
425;14;1370;1
426;1;1370;1
427;8;1376;1
428;5;1376;1
429;13;1376;1
430;3;1376;1
431;5;1381;1
432;7;1381;1
433;3;1383;1
434;1;1386;1
435;7;1387;1
436;5;1388;1
437;14;1388;1
438;7;1388;1
439;2;1388;1
440;8;1401;1
441;1;1403;1
442;1;1407;1
443;14;1410;1
444;2;1410;1
445;5;1415;0
446;5;1415;1
447;13;1415;1
448;14;1415;1
449;6;1415;1
450;7;1415;1
451;14;1425;1
452;2;1425;1
453;11;1429;1
454;14;1434;0
455;14;1435;1
456;2;1435;1
457;8;1440;1
458;9;1440;1
459;13;1440;1
460;12;1440;1
461;3;1440;1
462;6;1440;1
463;13;1448;1
464;14;1465;1
465;3;1473;1
466;5;1476;1
467;1;1504;1
468;6;1505;1
469;9;1513;1
470;1;1514;1
471;10;1524;1
472;8;1526;1
473;5;1529;1
474;1;1529;1
475;2;1533;1
476;7;1539;1
477;5;1540;1
478;5;1541;1
479;12;1545;1
480;5;1549;1
481;11;1549;1
482;14;1549;1
483;7;1549;1
484;2;1549;1
485;2;1552;1
486;5;1554;1
487;6;1554;1
488;1;1554;1
489;5;1560;1
490;11;1560;1
491;7;1560;1
492;3;1567;1
493;11;1573;1
494;2;1573;1
495;6;1576;1
496;14;1578;1
497;6;1578;1
498;5;1592;1
499;13;1592;1
500;3;1592;1
501;13;1594;1
502;4;1594;1
503;2;1594;1
504;3;1596;1
505;1;1604;1
506;1;1606;1
507;14;1609;1
508;6;1609;1
509;9;1618;1
510;10;1618;1
511;5;1622;1
512;1;1622;1
513;5;1633;1
514;2;1633;1
515;1;1633;1
516;12;1635;1
517;14;1635;1
518;3;1635;1
519;8;1640;1
520;11;1647;1
521;5;1650;1
522;10;1648;1
523;7;1652;1
