id;clusterId;vertexId;distance
166;7;531;1
167;8;531;1
168;10;533;1
169;13;534;1
170;6;534;1
171;14;534;1
172;9;546;1
173;11;549;1
174;5;549;1
175;0;555;1
176;7;563;1
177;8;579;1
178;4;582;1
179;8;582;1
180;14;584;-1
181;14;584;1
182;8;584;1
183;6;586;1
184;12;586;1
185;12;588;1
186;0;589;1
187;1;589;1
188;9;589;1
189;2;589;1
190;5;589;1
191;3;589;1
192;6;590;1
193;4;590;1
194;12;590;1
195;1;598;1
196;6;599;1
197;2;599;1
198;12;599;1
199;12;608;1
200;1;613;1
201;8;613;1
202;5;626;1
203;11;627;1
204;8;628;1
205;6;641;1
206;10;641;1
207;14;641;1
208;7;641;1
209;8;641;1
210;10;645;1
211;3;646;1
212;0;647;1
213;5;647;1
214;14;649;1
215;3;651;1
216;10;659;1
217;5;660;1
218;11;661;1
219;6;664;1
220;14;664;1
221;7;664;1
222;8;664;1
223;12;670;1
224;13;671;1
225;1;671;0
226;14;671;1
227;4;684;1
228;14;686;1
229;7;698;1
230;12;710;1
231;10;714;1
232;12;716;1
233;9;718;1
234;3;718;1
235;8;722;1
236;12;723;1
237;5;730;1
238;7;738;1
239;14;743;1
240;5;745;1
241;3;748;1
242;9;750;1
243;3;750;1
244;6;754;1
245;12;754;1
246;3;769;1
247;12;775;1
248;11;774;1
249;5;782;1
250;9;785;1
251;6;789;1
252;13;791;0
253;1;791;1
254;11;791;1
255;3;791;1
256;8;793;1
257;0;794;1
258;10;794;1
259;0;805;1
260;5;805;1
261;9;808;1
262;7;808;1
263;5;840;1
264;12;840;1
265;9;844;1
266;9;853;1
267;9;857;1
268;2;867;1
269;5;870;1
270;12;874;1
271;6;883;1
272;11;883;1
273;10;883;1
274;4;883;1
275;14;883;1
276;7;883;1
277;8;883;1
278;1;885;1
279;8;885;1
280;9;893;1
281;12;893;1
282;0;896;1
283;6;896;1
284;9;896;1
285;5;896;1
286;6;905;1
287;10;908;1
288;6;913;1
289;10;913;1
290;7;913;1
291;0;917;1
292;9;917;0
293;9;917;1
294;3;917;1
295;0;927;1
296;0;929;1
297;5;947;1
298;6;951;1
299;12;951;1
300;12;958;1
301;9;962;1
302;10;962;1
303;3;962;1
304;8;963;1
305;12;965;1
306;7;966;1
307;10;967;1
308;4;967;1
309;7;967;1
310;8;967;1
311;6;989;1
312;12;989;1
313;14;990;1
314;13;991;1
315;9;991;1
316;12;992;1
317;4;995;1
318;12;995;1
319;12;998;1
320;14;1006;1
321;6;1012;1
322;12;1012;1
323;6;1014;1
324;10;1014;1
325;7;1014;1
326;8;1014;1
327;5;1013;1
328;11;1019;1
329;11;1018;1
330;8;1021;1
331;6;1023;1
332;4;1023;1
333;7;1026;0
334;7;1026;1
335;8;1026;1
336;5;1030;1
337;10;1044;1
338;12;1052;1
339;9;1055;1
340;3;1055;1
341;0;1062;1
342;5;1062;0
343;5;1062;1
344;5;1063;1
345;6;1066;1
346;10;1066;1
347;7;1066;1
348;5;1068;1
349;7;1069;1
350;12;1074;1
351;3;1079;1
352;6;1091;1
353;8;1091;1
354;4;1097;1
355;14;1097;1
356;12;1097;1
357;6;1099;1
358;11;1116;1
359;5;1118;1
360;5;1125;1
361;4;1127;1
362;5;1129;1
363;6;1136;1
364;12;1136;1
365;6;1144;1
366;9;1144;1
367;14;1144;1
368;5;1144;1
369;8;1144;1
370;5;1149;1
371;5;1152;1
372;11;1153;1
373;6;1163;1
374;14;1163;0
375;14;1163;1
376;8;1163;1
377;11;1165;1
378;5;1165;1
379;5;1167;1
380;14;1171;0
381;11;1181;1
382;6;1183;1
383;9;1183;1
384;5;1183;1
385;12;1195;1
386;1;1200;1
387;8;1200;1
388;3;1201;1
389;9;1227;1
390;14;1236;1
391;11;1253;1
392;8;1253;1
393;1;1273;1
394;8;1273;1
395;14;1274;1
396;8;1274;1
397;0;1284;1
398;1;1293;1
399;12;1294;1
400;5;1310;1
401;6;1317;1
402;9;1317;1
403;9;1318;1
404;14;1318;1
405;3;1318;1
406;12;1318;1
407;6;1322;1
408;9;1322;1
409;9;1321;1
410;3;1321;1
411;6;1326;1
412;5;1332;1
413;9;1333;1
414;10;1333;1
415;3;1333;1
416;14;1335;1
417;8;1335;1
418;5;1338;1
419;10;1340;1
420;8;1343;1
421;12;1355;1
422;1;1360;1
423;10;1360;1
424;6;1372;1
425;14;1372;1
426;12;1372;1
427;0;1378;1
428;6;1378;1
429;9;1378;1
430;5;1378;1
431;6;1383;1
432;7;1383;1
433;5;1385;1
434;12;1388;1
435;7;1389;1
436;6;1390;1
437;14;1390;1
438;7;1390;1
439;8;1390;1
440;0;1403;1
441;12;1405;1
442;12;1409;1
443;14;1412;1
444;8;1412;1
445;6;1417;0
