id;clusterId;vertexId;distance
148;7;489;1
149;10;490;1
150;1;490;1
151;6;498;1
152;0;506;1
153;5;507;1
154;4;511;1
155;2;511;1
156;14;511;1
157;5;519;1
158;9;525;1
159;5;526;1
160;9;526;1
161;13;526;1
162;6;526;1
163;4;530;1
164;8;530;1
165;2;530;1
166;14;530;1
167;6;530;1
168;2;532;1
169;10;533;1
170;5;533;1
171;4;533;1
172;9;545;1
173;8;548;1
174;3;548;1
175;11;554;1
176;14;562;1
177;6;578;1
178;1;581;1
179;6;581;1
180;5;583;-1
181;5;583;1
182;6;583;1
183;4;585;1
184;7;585;1
185;7;587;1
186;11;588;1
187;12;588;1
188;9;588;1
189;0;588;1
190;3;588;1
191;13;588;1
192;4;589;1
193;1;589;1
194;7;589;1
195;12;597;1
196;4;598;1
197;0;598;1
198;7;598;1
199;7;607;1
200;12;612;1
201;6;612;1
202;3;625;1
203;8;626;1
204;6;627;1
205;5;640;1
206;4;640;1
207;2;640;1
208;14;640;1
209;6;640;1
210;2;644;1
211;13;645;1
212;11;646;1
213;3;646;1
214;5;648;1
215;13;650;1
216;2;658;1
217;3;659;1
218;8;660;1
219;5;663;1
220;4;663;1
221;14;663;1
222;6;663;1
223;7;669;1
224;10;670;1
225;5;670;1
226;12;670;0
227;1;683;1
228;5;685;1
229;14;697;1
230;7;709;1
231;2;713;1
232;7;715;1
233;9;717;1
234;13;717;1
235;6;721;1
236;7;722;1
237;3;729;1
238;14;737;1
239;5;742;1
240;3;744;1
241;13;747;1
242;9;749;1
243;13;749;1
244;4;753;1
245;7;753;1
246;13;768;1
247;7;774;1
248;8;773;1
249;3;781;1
250;9;784;1
251;4;788;1
252;10;790;0
253;12;790;1
254;8;790;1
255;13;790;1
256;6;792;1
257;11;793;1
258;2;793;1
259;11;804;1
260;3;804;1
261;9;807;1
262;14;807;1
263;3;839;1
264;7;839;1
265;9;843;1
266;9;852;1
267;9;856;1
268;0;866;1
269;3;869;1
270;7;873;1
271;5;882;1
272;4;882;1
273;8;882;1
274;2;882;1
275;1;882;1
276;14;882;1
277;6;882;1
278;12;884;1
279;6;884;1
280;9;892;1
281;7;892;1
282;11;895;1
283;4;895;1
284;9;895;1
285;3;895;1
286;4;904;1
287;2;907;1
288;4;912;1
289;2;912;1
290;14;912;1
291;11;916;1
292;9;916;0
293;9;916;1
294;13;916;1
295;11;926;1
296;11;928;1
297;3;946;1
298;4;950;1
299;7;950;1
300;7;957;1
301;9;961;1
302;2;961;1
303;13;961;1
304;6;962;1
305;7;964;1
